domain,n,meanΔ,rrb,p,wins_i,wins_d,ties,p_bh,sig_bh
P12: Кейсы / leverage points,5,0.5880000000000001,1.0,0.0625,5,0,0,0.0959234575458925,False
P6: Глубокие аналогии,15,0.2106666666666666,1.0,0.0272811714776179,6,0,9,0.0526136878496918,False
P7: Головоломки,9,0.6911111111111112,0.9285714285714286,0.03125,6,1,2,0.05625,False
E: Аналогии / метафоры / объяснения,15,2.606666666666667,0.8166666666666667,0.0053763555368267,12,3,0,0.0181451999367904,True
P9: Системные эффекты,20,0.21,0.725,0.012837179006035,13,2,5,0.0288836527635788,True
P13: API,20,0.2494999999999999,0.5824175824175825,0.0639489716972617,11,2,7,0.0959234575458925,False
P10: Системное мышление,47,0.1370212765957446,0.2117647058823529,0.2803521356058737,22,12,13,0.3291090287547213,False
D: Язык / переводы / культура,14,0.0078571428571425,0.1047619047619047,0.7608642578125,8,6,0,0.7901282677283654,False
P14: Данные,16,-0.9237499999999998,-0.0095238095238095,0.9749537510711463,8,6,2,0.9749537510711463,False
P5: Творчество,50,0.0046,-0.1884057971014492,0.4283454306772662,7,16,27,0.4626130651314476,False
F: Код / алгоритмы,14,-0.4185714285714286,-0.2571428571428571,0.42626953125,5,9,0,0.4626130651314476,False
K: Психологические паттерны / риски,25,-0.4175999999999999,-0.3095238095238095,0.2249702516928128,8,12,5,0.2892474664621879,False
P15: Инфра / интеграции,34,-2.013823529411764,-0.3137254901960784,0.1158286463801462,17,16,1,0.1563686726131974,False
N: Идентичность / метакогниция / философ,76,-0.2467105263157894,-0.3761569788967049,0.0052239396071372,23,50,3,0.0181451999367904,True
I: Системный дизайн,33,-0.8096969696969697,-0.5169340463458111,0.0095714559787798,10,23,0,0.0239701704545454,True
J: Эмпатия / психология,46,-0.5710869565217392,-0.6116642958748222,0.0011799214605622,12,25,9,0.0063715758870358,True
P2: Архитектурные паттерны,49,-0.1067346938775509,-0.6120789779326364,0.0006303107594775,16,25,8,0.0042545976264732,True
P1: Качество ответов / код / архитектура,33,-0.1342424242424242,-0.6666666666666666,0.0230680642894435,3,12,18,0.0479105950626905,True
B: Логика и ловушки,9,-0.7566666666666667,-0.7857142857142857,0.078125,2,5,2,0.1110197368421052,False
M: Джейлбрейки / манипуляции,12,-1.13,-0.8205128205128205,0.00927734375,2,10,0,0.0239701704545454,True
C: Эпистемика / критическое мышление,10,-2.223,-0.8909090909090909,0.009765625,2,8,0,0.0239701704545454,True
H: Рефакторинг,15,-2.414,-0.9333333333333332,0.00042724609375,1,14,0,0.00384521484375,True
P16: Большие проектные задачи,10,-1.7630000000000003,-0.9636363636363636,0.00390625,1,9,0,0.017578125,True
G: Баг-хантинг,14,-3.830714285714286,-0.9809523809523808,0.000244140625,1,13,0,0.0032958984375,True
P11: Концепты,8,-0.2900000000000001,-1.0,0.0625,0,5,3,0.0959234575458925,False
O: Контекст / память / дрейф,21,-0.3109523809523809,-1.0,8.844915021211901e-05,0,20,1,0.0023881270557272,True
P8: Креатив / problem solving,5,-0.116,-1.0,0.25,0,3,2,0.3068181818181818,False
