task_id,variant_id
10,V0424
13,V0378
14,V0784
17,V0296
18,V0592
22,V0827
23,V0666
25,V0261
27,V0731
28,V0637
29,V0669
31,V0564
32,V0432
36,V0565
39,V0335
40,V0328
41,V0380
42,V0752
43,V0706
45,V0230
47,V0844
48,V0491
50,V0638
51,V0276
54,V0684
55,V0952
58,V0211
59,V0541
62,V0911
63,V0493
66,V0904
68,V0616
71,V0198
72,V0725
73,V0559
74,V0573
78,V0886
83,V0591
85,V0206
86,V0932
88,V0585
91,V0712
92,V0902
93,V0375
95,V0679
98,V0648
100,V0245
101,V0514
103,V0300
104,V0615
105,V0397
106,V0922
107,V0977
109,V0218
110,V0548
112,V0391
113,V0455
114,V0195
118,V0273
121,V0217
122,V0625
124,V0916
126,V0780
128,V0633
130,V0189
133,V0889
135,V0997
140,V0978
141,V0520
142,V0820
148,V0631
150,V0628
152,V0457
153,V0767
154,V0388
155,V0467
162,V0188
163,V0346
164,V0913
167,V0297
172,V0795
174,V0256
175,V0764
179,V0386
180,V0504
182,V0517
184,V0645
191,V0984
192,V0318
195,V0255
196,V0743
197,V0509
199,V0755
203,V0877
204,V0926
205,V0519
206,V0278
207,V0756
209,V0982
210,V0809
211,V0329
216,V0348
218,V0796
222,V0521
224,V0642
227,V0807
229,V0257
230,V0485
231,V0924
232,V0732
233,V0414
234,V0544
236,V0716
238,V0664
242,V0288
246,V0992
248,V0194
249,V0259
250,V0281
252,V0914
253,V0723
256,V0989
258,V0286
259,V0490
260,V0450
263,V0839
265,V0347
266,V0816
271,V0404
273,V0372
274,V0980
276,V0955
278,V0931
279,V0453
286,V0464
289,V0270
291,V0791
293,V0607
294,V0653
296,V0787
297,V0895
298,V0241
299,V0163
302,V0581
304,V0526
305,V0222
310,V0236
312,V0721
315,V0868
316,V0841
321,V0403
322,V0430
324,V0859
327,V0606
328,V0231
329,V0535
331,V0918
332,V0849
334,V0792
338,V0310
339,V0845
341,V0728
344,V0907
345,V0243
347,V0672
348,V0374
351,V0750
353,V0308
354,V0777
361,V0266
363,V0789
365,V0172
369,V0327
373,V0418
375,V0852
381,V0644
382,V0782
386,V0741
387,V0425
389,V0765
390,V0489
392,V0389
393,V0654
394,V0302
396,V0370
397,V0746
402,V0894
406,V0901
408,V0383
409,V0248
413,V0382
414,V0570
415,V0635
416,V0808
417,V0829
420,V0321
421,V0866
422,V0515
426,V0883
427,V0999
428,V0665
429,V0972
431,V0761
432,V0481
433,V0773
434,V0990
436,V0524
437,V0359
438,V0447
439,V0786
440,V0885
441,V0576
442,V0561
444,V0212
445,V0202
446,V0396
447,V0303
453,V0352
454,V0343
456,V0788
459,V0554
461,V0753
462,V0232
463,V0263
466,V0239
467,V0693
468,V0744
469,V0185
473,V0558
475,V0341
477,V0441
478,V0860
479,V0169
481,V0247
487,V0687
488,V0704
489,V0925
490,V0701
491,V0186
492,V0409
494,V0444
497,V0710
498,V0869
499,V0707
505,V0881
511,V0250
512,V0857
513,V0238
514,V0962
517,V0934
518,V0611
522,V0365
523,V0985
524,V0525
525,V0422
526,V0178
528,V0315
530,V0942
531,V0604
532,V0806
534,V0781
535,V0556
537,V0226
538,V0260
539,V0736
540,V0309
542,V0582
545,V0164
547,V0762
548,V0811
549,V0445
551,V0306
557,V0503
559,V0324
561,V0199
562,V0534
564,V0269
565,V0371
567,V0540
569,V0411
570,V0333
571,V0190
572,V0229
574,V0774
575,V0696
576,V0812
581,V0407
582,V0304
584,V0650
588,V0987
589,V0817
590,V0825
591,V0760
593,V0177
594,V0939
595,V0871
599,V0312
601,V0344
603,V0235
604,V0322
606,V0363
607,V0220
610,V0656
611,V0184
612,V0626
613,V0560
614,V0486
615,V0896
619,V0964
623,V0930
624,V0170
626,V0482
628,V0393
629,V0903
630,V0187
631,V0355
639,V0976
640,V0867
643,V0550
645,V0846
646,V0282
650,V0166
652,V0735
653,V0714
655,V0610
658,V0496
660,V0804
661,V0476
662,V0747
665,V0994
667,V0757
669,V0842
671,V0292
672,V0332
677,V0417
678,V0280
681,V0213
683,V0428
687,V0452
688,V0437
691,V0468
692,V0673
694,V0420
696,V0658
697,V0991
698,V0876
702,V0408
703,V0317
705,V0970
706,V0392
708,V0339
710,V0562
713,V0768
714,V0856
715,V0602
720,V0234
723,V0605
724,V0369
727,V0815
730,V0624
732,V0927
733,V0717
734,V0960
736,V0252
737,V0695
738,V0174
739,V0360
743,V0749
744,V0657
745,V0345
747,V0850
748,V0291
749,V0338
750,V0416
752,V0413
754,V0663
755,V0697
757,V0861
758,V0659
759,V0965
760,V0427
761,V0882
766,V0998
769,V0575
774,V0951
778,V0713
779,V0847
781,V0337
782,V0621
787,V0778
790,V0460
791,V0446
792,V0458
793,V0492
798,V0434
799,V0609
800,V0824
801,V0362
802,V0182
804,V0954
805,V0538
807,V0551
808,V0412
809,V0671
810,V0240
811,V0499
812,V0275
814,V0683
817,V0910
818,V0627
822,V0622
829,V0472
830,V0497
831,V0242
833,V0466
836,V0253
837,V0305
844,V0880
845,V0271
846,V0385
847,V0766
850,V0974
851,V0837
853,V0283
855,V0274
856,V0893
857,V0214
859,V0733
861,V0709
867,V0179
869,V0251
870,V0855
871,V0818
874,V0700
875,V0439
878,V0205
880,V0689
882,V0720
884,V0986
885,V0632
886,V1000
890,V0336
893,V0950
894,V0287
895,V0617
897,V0431
902,V0258
904,V0584
905,V0543
907,V0181
908,V0208
909,V0793
910,V0532
912,V0639
915,V0289
917,V0553
918,V0828
921,V0740
923,V0204
924,V0298
927,V0522
931,V0940
938,V0488
939,V0599
942,V0459
945,V0176
946,V0887
947,V0394
952,V0722
953,V0316
955,V0442
956,V0763
957,V0549
958,V0619
960,V0589
965,V0311
966,V0831
967,V0909
968,V0528
970,V0874
971,V0530
972,V0647
973,V0694
975,V0948
976,V0568
977,V0342
979,V0402
980,V0973
985,V0505
986,V0667
988,V0959
991,V0838
992,V0794
995,V0900
998,V0863
