task_id,surface_type,parent_case_id,parent_family,word_count,paragraph_count,ends_minimal_question,prompt_sha256,strict_variant_lint
11,CANONICAL,006,Узел T-6,298,13,True,0a0b911253eefaac0c6b8cf8211feb56177e5949070d3bb85c2a37d6803295d9,NOT_APPLICABLE_CANONICAL
26,CANONICAL,010,Канал E-4,291,13,True,5b6682046bab3b06a6204cc935c649906c21f58062d3dd418a73891c4c217d9f,NOT_APPLICABLE_CANONICAL
49,CANONICAL,009,Контур R-2,288,13,True,f2a952e595db74df7200c1fc20de2b0790fc3a0b8bf630e2fd98be89b4ab4b2b,NOT_APPLICABLE_CANONICAL
67,CANONICAL,002,Очередь Q-9,316,13,True,12a1ddb6315be11cd7ae7552bac617cfdc37b903a90cf01dd8a66a06bf1779f0,NOT_APPLICABLE_CANONICAL
87,CANONICAL,013,Ветка L-2,331,14,True,b8efdfff5051564c78669bca299d3ce09d85196ed169b323d5e55826fb4d1536,NOT_APPLICABLE_CANONICAL
111,CANONICAL,015,Контур G-11,319,13,True,1f43b036eb4e2c2629e6c93d0552156bfdb88a016b1610a1244cca856c10bb65,NOT_APPLICABLE_CANONICAL
143,MUTATION,013,Ветка L-2,214,8,True,5cbdab7d08d45434d9d95ab518563a0efe851dcf2c351d01193bb5da8198c01e,PASS
168,MUTATION,010,Канал E-4,169,6,True,f9b29cfe72b51861ee92cb330c10b42fcd738af4a8eb75d1b26cda5957d34705,PASS
185,CANONICAL,017,Очередь Z-4,310,13,True,972a8bc93525b5dcad4e64d574d9d23b801a3dcd8a0ead7565e075ce4b96dc61,NOT_APPLICABLE_CANONICAL
202,MUTATION,015,Контур G-11,151,6,True,1f1ac548358c52aaed05f413d452d3bbee793310701c7423c49eb11b97d3b3aa,PASS
223,CANONICAL,003,Секция M-4,318,13,True,4933312478f7b19af0944f0e3985f128bcfc18ab44ef61e3eb6b40590b0d1b82,NOT_APPLICABLE_CANONICAL
244,CANONICAL,018,Сектор R-10,313,13,True,b67a9a6eaffaa60b3871dfacf689a75362d9a2cdf621f98dd9f5e7b39d4af7e0,NOT_APPLICABLE_CANONICAL
262,MUTATION,017,Очередь Z-4,138,6,True,505ab2a2c2ecae0e988bc6e04085f8995b1a5f33b485fb23b08664f9d4952115,PASS
275,CANONICAL,008,Секция J-5,317,13,True,be58cdc85412a3e658b801de7138bd3e3ed25ae674fc8c1eba7174ef69ad1692,NOT_APPLICABLE_CANONICAL
288,CANONICAL,011,Сводка K-3,331,14,True,ed05a5287b43124c3ef7fbdd3ddd285d8e1fd48b9a9a89d1767cc032d8ea8ec9,NOT_APPLICABLE_CANONICAL
300,CANONICAL,014,Corridor H-6,342,13,True,7d93324877c7c63957b513c0fdb5132d74a4f6a3cd3f2be15700e0a23e65080c,NOT_APPLICABLE_CANONICAL
320,MUTATION,002,Очередь Q-9,152,6,True,c252e1d8a58223dd2da511be978c853bc3de54e360ee5fa46f35e59cd8a51277,PASS
340,CANONICAL,012,Шлюз P-8,292,13,True,11a638f57a8520555d786067c6ed88362094db55be6de81f34b48cdb78d032f1,NOT_APPLICABLE_CANONICAL
362,MUTATION,014,Corridor H-6,199,7,True,fa9adabe261cd690854a1c47e8cff68d9e84421d047f1e4bd17731ff59474435,PASS
380,MUTATION,012,Шлюз P-8,149,6,True,63a1ca08a0256c9af1a2b5eb7871b53ef9e5b771809cfa6b984a72decc311373,PASS
407,MUTATION,011,Сводка K-3,144,6,True,79922141fa8e75b7ed61babfd4e0a5087ab623481ee1c51b93c912285fbfd8c1,PASS
424,CANONICAL,016,Узел N-5,288,13,True,46a0113dcc7c6c9a9dcff941b4ae94f4bf5888428b572c50680e431144ba2e1e,NOT_APPLICABLE_CANONICAL
443,MUTATION,010,Канал E-4,148,6,True,bceb78113ccf712f7eac0c34a5a9e475995ad6b06a77cb3377bc0a57c192d15f,PASS
457,MUTATION,014,Corridor H-6,180,6,True,c02632955840468502a55ad385ac034842e21eb6551987bb4decbeda384298ae,PASS
480,MUTATION,009,Контур R-2,157,6,True,5879f9c302bf42e7f80c4830c1ff8d55f98ac473d521a19ded06105157655f22,PASS
501,MUTATION,017,Очередь Z-4,132,6,True,a6fac896e1d100645e1c6bac6f36ad794e72f45dd37beff28d0984d3f7a69fac,PASS
521,CANONICAL,001,Северная ветка,314,13,True,090d7c5b43a72bc921469b3b6dc53ba8e21741f5a8ecd6050f49d6d359518559,NOT_APPLICABLE_CANONICAL
